epoch,accuracy,dice_coef,f1,iou_coef,loss,lr,val_accuracy,val_dice_coef,val_f1,val_iou_coef,val_loss
0,0.6650758385658264,0.2646423280239105,0.2990645468235016,0.15989170968532562,2.448477029800415,0.001,0.3175600469112396,0.2537953853607178,0.28818371891975403,0.14950162172317505,3.5035548210144043
1,0.7829323410987854,0.5895953178405762,0.7694351077079773,0.4239669740200043,1.2112196683883667,0.001,0.752967894077301,0.6156946420669556,0.757999062538147,0.4495806097984314,1.2360411882400513
2,0.7972441911697388,0.6776145100593567,0.8044586777687073,0.5187866687774658,0.992612361907959,0.001,0.7679209113121033,0.6584720015525818,0.7736139297485352,0.4985020160675049,1.1202720403671265
3,0.8100748658180237,0.7083701491355896,0.8172432780265808,0.5549795627593994,0.8906171917915344,0.001,0.7754530310630798,0.6797654032707214,0.7791953086853027,0.5219687223434448,1.0233784914016724
4,0.8210843801498413,0.7289525270462036,0.8273149132728577,0.5800800323486328,0.8211655020713806,0.001,0.7871761322021484,0.7080941200256348,0.7914434671401978,0.5554183721542358,0.984548807144165
5,0.8289014101028442,0.7454007267951965,0.8359083533287048,0.6001225709915161,0.7680688500404358,0.001,0.7713766098022461,0.6998827457427979,0.7763115763664246,0.5452027320861816,1.038257360458374
0,0.7172253131866455,0.303827166557312,0.3768340051174164,0.18891727924346924,2.3195390701293945,0.001,0.6525886058807373,0.4436458945274353,0.617642343044281,0.28929808735847473,1.8683828115463257
1,0.7902729511260986,0.6233533620834351,0.7831054329872131,0.4588312804698944,1.1181799173355103,0.001,0.4474719166755676,0.3356856107711792,0.4112499952316284,0.2065967470407486,2.820380687713623
2,0.8084822297096252,0.6959388256072998,0.8123670816421509,0.5402229428291321,0.9233464002609253,0.001,0.7687176465988159,0.6422860026359558,0.7640654444694519,0.4815542697906494,1.0919313430786133
3,0.8176391124725342,0.7231531739234924,0.8232560753822327,0.5729352831840515,0.844699501991272,0.001,0.7948719263076782,0.7057007551193237,0.8010028004646301,0.551794171333313,0.931247353553772
4,0.8250120878219604,0.7409210801124573,0.8317950963973999,0.594876229763031,0.7879766225814819,0.001,0.7919610738754272,0.7100589871406555,0.7937593460083008,0.5575873255729675,0.9463472962379456
5,0.8321869969367981,0.7545582056045532,0.8392760753631592,0.6117855906486511,0.7441515326499939,0.001,0.7606136202812195,0.6737163066864014,0.7613762021064758,0.516501247882843,1.0827524662017822
6,0.8385084867477417,0.7648744583129883,0.8450659513473511,0.6246740818023682,0.7091782689094543,0.001,0.7784033417701721,0.7078217267990112,0.7831247448921204,0.5577800273895264,0.9738601446151733
7,0.8421263694763184,0.7725163102149963,0.8489013910293579,0.6345447897911072,0.68525630235672,0.001,0.7940919399261475,0.7346569299697876,0.7998362183570862,0.5896569490432739,0.9198225140571594
8,0.8465559482574463,0.7799419164657593,0.8530591130256653,0.6442628502845764,0.660271167755127,0.001,0.7945713996887207,0.7217310667037964,0.7995572686195374,0.5719521045684814,0.9078050851821899
9,0.853134036064148,0.7898107767105103,0.8595332503318787,0.6572280526161194,0.6262228488922119,0.001,0.8031243681907654,0.7497733235359192,0.8112392425537109,0.6070960164070129,0.885102391242981
10,0.856609582901001,0.7952305674552917,0.8628719449043274,0.6644237041473389,0.6071380972862244,0.001,0.8023682832717896,0.7508301138877869,0.8100743889808655,0.6089527606964111,0.898960292339325
11,0.8588590025901794,0.7984821200370789,0.8642593622207642,0.6687421202659607,0.5961096882820129,0.001,0.799314558506012,0.7402912974357605,0.8053842782974243,0.594964861869812,0.907776951789856
12,0.8658487200737,0.8070266246795654,0.8705180883407593,0.6801982522010803,0.565056562423706,0.001,0.804560661315918,0.7504817843437195,0.8100948333740234,0.6075350046157837,0.8643631339073181
13,0.870638370513916,0.8144358992576599,0.8750908970832825,0.690459132194519,0.5406626462936401,0.001,0.808045506477356,0.7536969184875488,0.8153773546218872,0.6117318272590637,0.8537750244140625
14,0.8758756518363953,0.821681797504425,0.8799576163291931,0.7004570364952087,0.5171195268630981,0.001,0.8131892085075378,0.7679824829101562,0.8191847801208496,0.6305373311042786,0.8528044819831848
15,0.8800036907196045,0.8275209069252014,0.883719801902771,0.7087560892105103,0.497091144323349,0.001,0.8129745125770569,0.7656334638595581,0.8177196979522705,0.6281095147132874,0.8510903120040894
16,0.8832610845565796,0.8323528170585632,0.8868294954299927,0.7156219482421875,0.4812278151512146,0.001,0.814628541469574,0.771998405456543,0.8221815824508667,0.6356586813926697,0.859296441078186
17,0.8864392638206482,0.8370514512062073,0.8897905349731445,0.7223782539367676,0.46655306220054626,0.001,0.8153656125068665,0.7746985554695129,0.8217874765396118,0.6392766237258911,0.8638432621955872
18,0.888227641582489,0.8402655124664307,0.89151930809021,0.7270064949989319,0.4567070007324219,0.001,0.8036599159240723,0.7569519877433777,0.8110681772232056,0.6159517765045166,0.9051527976989746
19,0.8897651433944702,0.8426641821861267,0.8928753137588501,0.7305094599723816,0.4482317268848419,0.001,0.8092350959777832,0.7646355032920837,0.8168200850486755,0.6265300512313843,0.8802213072776794
20,0.8890991806983948,0.8426597118377686,0.8921268582344055,0.7304813265800476,0.4494446814060211,0.001,0.80829918384552,0.7699753046035767,0.8165044188499451,0.6329712867736816,0.9238936901092529
21,0.8907219767570496,0.8449701070785522,0.8937049508094788,0.7339009046554565,0.4413965940475464,0.001,0.811711311340332,0.7741934657096863,0.8191367983818054,0.6388073563575745,0.8862783312797546
22,0.8927872180938721,0.8481478691101074,0.8956290483474731,0.7386118769645691,0.43092572689056396,0.001,0.8160662651062012,0.7823933362960815,0.823934018611908,0.6494183540344238,0.8908215761184692
23,0.8949350118637085,0.8511213064193726,0.8975754380226135,0.7430003881454468,0.4214368462562561,0.001,0.8168498277664185,0.7718966007232666,0.8229828476905823,0.6351247429847717,0.8643447756767273
24,0.8964745998382568,0.8534950613975525,0.8990227580070496,0.7465556859970093,0.41313862800598145,0.001,0.8172129988670349,0.7877654433250427,0.824942946434021,0.6566725373268127,0.8993843197822571
25,0.8986373543739319,0.8565906882286072,0.901048481464386,0.751187801361084,0.4032604992389679,0.001,0.8171184062957764,0.7814533114433289,0.823599100112915,0.6485031247138977,0.8847379088401794
26,0.9020870327949524,0.8607345223426819,0.9043363332748413,0.7574943900108337,0.3878726065158844,0.000100000005,0.823447048664093,0.7890341281890869,0.8309553265571594,0.6584895253181458,0.8502943515777588
27,0.9046211838722229,0.8633770942687988,0.9067467451095581,0.76149582862854,0.3777637183666229,0.000100000005,0.8232197165489197,0.787211000919342,0.8297725319862366,0.6559402942657471,0.8530036807060242
28,0.9061244130134583,0.8648408651351929,0.9080917835235596,0.7637174129486084,0.37192797660827637,0.000100000005,0.822877049446106,0.787108838558197,0.8299767374992371,0.6558022499084473,0.8539934158325195
29,0.9071938395500183,0.8661736845970154,0.9091432690620422,0.7657507658004761,0.3676799535751343,0.000100000005,0.8228481411933899,0.7882692217826843,0.8300094604492188,0.6572859287261963,0.8582704067230225
30,0.9080522656440735,0.8672469854354858,0.9099330306053162,0.7673991322517395,0.3639689087867737,0.000100000005,0.8227724432945251,0.7880480289459229,0.8284112215042114,0.6572324633598328,0.8668922781944275
31,0.908653974533081,0.8679750561714172,0.9105018973350525,0.7685115337371826,0.3615182340145111,0.000100000005,0.8228412866592407,0.7881121635437012,0.8288953304290771,0.6571622490882874,0.8664919137954712
32,0.909295916557312,0.8688002824783325,0.9111139178276062,0.7697843313217163,0.3586082458496094,0.000100000005,0.822599470615387,0.7903168201446533,0.8303754329681396,0.6602222919464111,0.8705685138702393
33,0.9098895192146301,0.8695951104164124,0.911665141582489,0.7710145711898804,0.3561075031757355,0.000100000005,0.8218870759010315,0.7886569499969482,0.8274435997009277,0.6581512689590454,0.8785970211029053
34,0.9102389812469482,0.870201826095581,0.9119975566864014,0.7719340324401855,0.3542781174182892,0.000100000005,0.8218069076538086,0.7896942496299744,0.8289756774902344,0.6593224406242371,0.8802967667579651
35,0.9107309579849243,0.8707879781723022,0.9124602675437927,0.7728559970855713,0.3519890010356903,0.000100000005,0.8222466111183167,0.7898091077804565,0.8285955786705017,0.659468412399292,0.8812195658683777
36,0.9111990928649902,0.8715398907661438,0.9129215478897095,0.7740190029144287,0.34973928332328796,0.000100000005,0.8219500780105591,0.7894834876060486,0.828039288520813,0.6593261957168579,0.8866777420043945
37,0.9116442203521729,0.8724420070648193,0.9133658409118652,0.7754097580909729,0.347758412361145,1.0000001e-05,0.8216342926025391,0.790346622467041,0.8292473554611206,0.6603091359138489,0.8891049027442932
38,0.9118368625640869,0.8722976446151733,0.9134699702262878,0.7751907110214233,0.34707537293434143,1.0000001e-05,0.8215364813804626,0.7892148494720459,0.8283206820487976,0.6586860418319702,0.889454185962677
39,0.9119830131530762,0.8723440766334534,0.9136353135108948,0.7752543091773987,0.3465619683265686,1.0000001e-05,0.8215324878692627,0.78945392370224,0.8285752534866333,0.6590346097946167,0.889891505241394
40,0.9121461510658264,0.8725380301475525,0.9138004779815674,0.7755537033081055,0.34592196345329285,1.0000001e-05,0.8214980363845825,0.7899829149246216,0.8287573456764221,0.6598706841468811,0.89106684923172
41,0.912153959274292,0.8725367784500122,0.9137981534004211,0.7755523324012756,0.345861554145813,1.0000001e-05,0.8214499354362488,0.7892972230911255,0.828159749507904,0.6588920950889587,0.8919565081596375
